Market	QuerySetName	QueryId	Query	Type	Frequency	UserLocation	UserLatLong	UserBoundingBox	TargetLocation	TargetLocationType	TargetLatLong	TargetCircleSizeInMiles
en-us	en-us UnifiedMaps-1410-01	00ec70e2-fc04-52ae-ad27-5ed2fcec2d35	1112 HUMMINGBIRD DR, W COLUMBIA, South Carolina, United States	Address	1	Duluth ,Georgia ,United States	34.0029,-84.1446	33.9553,-81.6258,33.9461,-81.6402	Duluth,Georgia,,United States	PopulatedPlace	33.9507001243209,-81.633	32
en-us	en-us UnifiedMaps-1410-01	010a7a3d-7bbd-5cd4-a886-89a5bc725409	7580 SW 6th Ct, Plantation FL 33324	Address	1	Dixon ,Illinois ,United States 61021	41.8157,-89.4818	41.94672378,-89.30580139,41.68470725,-89.65736389	SW 6th Ct, Plantation, FL 33324	RoadBlock	26.1122303009033,-80.2577972412109	2
en-us	en-us UnifiedMaps-1410-01	010ccd9b-dbe0-5e84-abea-259313f2cda2	Комсомольська 58. кімната 315. 3 поверх. , Дніпропетровськ	Address	1	Dnepryany ,Khersons'Ka Oblast' ,Ukraine	46.7412,33.2858	46.86159954,33.46160889,46.62067587,33.11004639	ViewPortCenter	PopulatedPlace	46.7412722783669,33.28582764	12
en-us	en-us UnifiedMaps-1410-01	01185035-75e9-5883-bdb5-22111d806887	Old arriage Court, North Charleston	Address	1	Holyoke ,Massachusetts ,United States	42.2043,-72.6162	32.9418,-80.0963,32.9316,-80.1107	Old Carriage Ct, North Charleston, SC 29420,United States	PopulatedPlace	32.93419,-80.09188	3
en-us	en-us UnifiedMaps-1410-01	011e6478-2b73-53ba-a3a9-02f6a2744692	hungry neck charleston sc	Address	1	Florence ,South Carolina ,United States 29501	34.2087,-79.8239	34.3542073,-79.64813232,34.06346787,-79.99969482	Hungryneck Blvd, Mount Pleasant, SC 29464,United States	PopulatedPlace	32.8219,-79.8351	2
en-us	en-us UnifiedMaps-1410-01	0148ed4e-9fa1-5cc8-888f-600a972711a9	1922 MASON ST NE GRAND RAPIDS MI	Address	1	Farmington ,Michigan ,United States 48331	42.498,-83.4072	42.8763,-85.6506,42.8751,-85.6527	1922 Mason St NE, Grand Rapids, MI 49505,United States	PopulatedPlace	42.9794,-85.62133	2
en-us	en-us UnifiedMaps-1410-01	0148f006-584d-530f-9325-d70c7663343b	4602 grand ave. la canada ca	Address	1	San Francisco ,California ,United States 94103	37.7758,-122.413	37.91440921,-122.23731995,37.63652871,-122.58888245	4602 Grand Ave, La Canada Flintridge, CA 91011,United States	PopulatedPlace	34.20791,-118.20321	2
en-us	en-us UnifiedMaps-1410-01	015887e3-aed2-5ea2-b8f1-3c91dbe5f183	Rua da Cintura, n39, Amares	Address	1	Lisboa ,Lisboa ,Portugal 1900-798	38.7069,-9.1356	38.84398613,-8.96003723,38.56964281,-9.31159973	Amares	AdminDivision2	41.6574974060059,-8.32514381408691	4
en-us	en-us UnifiedMaps-1410-01	016b3663-f424-545a-b0c3-73c32117d816	8321Delta Circle	Address	1	Louisville ,Kentucky ,United States 40229	38.0922,-85.6566	38.1709,-85.5166,38.0513,-85.7638	8321 Delta Circle, Louisville, KY 40228,United States	PopulatedPlace	38.12987,-85.6408	2
en-us	en-us UnifiedMaps-1410-01	0177de3d-413b-5d49-a722-26edb83f3b36	quebec and leetsdale, denver colorado	Address	1	Aurora ,Colorado ,United States 80017	39.6981,-104.782	39.8333228,-104.60632324,39.56282381,-104.95788574	Leetsdale Dr, Denver, CO 80246,United States	PopulatedPlace	39.71431,-104.93991	3
en-us	en-us UnifiedMaps-1410-01	01814110-8e6c-5ffe-bfb9-321cb2ab2d95	2929 S. RIDGELEY DR., , , LOS ANGELES, CA 90019	Address	1	Mahwah ,New Jersey ,United States 07430	41.078,-74.1764	41.07927808,-74.17434365,41.07668197,-74.17839378	2929 S Ridgeley Dr, Los Angeles, CA 90016,United States	PopulatedPlace	34.02726,-118.36346	2
en-us	en-us UnifiedMaps-1410-01	01937807-28e7-5d97-9357-6107f618f3d5	3726 S Mittman St, San Antonio, TX 78223	Address	1	San Antonio ,Texas ,United States	29.4246,-98.4946	29.3949,-98.4202,29.3661,-98.4801	3726 S Mittman St, San Antonio, TX 78223,United States	PopulatedPlace	29.38255,-98.45474	2
en-us	en-us UnifiedMaps-1410-01	0193b251-54c7-5930-8135-0bc97b814037	1100 E. Lagoon Street 124-5 Roosevelt, UT 84066 US	Address	1	Payson ,Utah ,United States 84651	40.022,-111.73	40.15631088,-111.55380249,39.88708458,-111.90536499	1100 E Lagoon St, Roosevelt, UT 84066,United States	PopulatedPlace	40.29949,-109.97603	2
en-us	en-us UnifiedMaps-1410-01	01a3f29d-92f0-5293-8183-25bff9d4f2c7	2824 Puumele Pl, Honolulu, HI 96817, United States	Address	1	Honolulu ,Hawaii ,United States	21.3136,-157.806	21.49907462,-157.66548157,21.17160634,-158.01704407	2824 Puumele Pl, Honolulu, HI 96817,United States	PopulatedPlace	21.33571,-157.84169	2
en-us	en-us UnifiedMaps-1410-01	01d74484-ee36-5b60-a827-b4c322822ff4	667 Ware Rd, Woodstock, IL 60098	Address	1	Grayslake ,Illinois ,United States 60030	42.3316,-88.0545	42.3436,-88.3928,42.3126,-88.4688	667 Ware Rd, Woodstock, IL 60098,United States	PopulatedPlace	42.34235,-88.44035	2
en-us	en-us UnifiedMaps-1410-01	01daf64a-9e0c-5fff-b741-dcd3bbbbd4cf	3250 Windy Hill Rd, Haines City, FL	Address	1	Tampa ,Florida ,United States 33603	27.986,-82.4638	28.1076,-81.5767,28.1066,-81.5779	3250 Windy Hill Rd, Haines City, FL 33844,United States	PopulatedPlace	28.02489,-81.57364	2
en-us	en-us UnifiedMaps-1410-01	01df016f-051b-58c7-a4e2-c42efb20c40d	250 Monroe NW, Suite 400 Grand Rapids, MI 49503	Address	1	Davison ,Michigan ,United States 48423	43.0443,-83.5192	43.17263461,-83.34365845,42.91570357,-83.69522095	250 Monroe Ave NW, Grand Rapids, MI 49503,United States	PopulatedPlace	42.96808,-85.67211	2
en-us	en-us UnifiedMaps-1410-01	01f2e3b0-8823-5319-b679-4bf24fc06982	73703 N OK-99	Address	1	Enid ,Oklahoma ,United States 73703	36.3981,-97.9662	36.6118,-97.6065,36.2857,-98.1566	N OK-99, Seminole, OK 74868,United States	PopulatedPlace	35.22622,-96.67106	5
en-us	en-us UnifiedMaps-1410-01	01f83103-ff0b-5aef-a319-843fa8bb6610	40-60 eLBERTSON APT. 30 ELMHURST , NY  11373	Address	1	Saint Paul ,Minnesota ,United States 55102	44.9278,-93.1162	40.938,-73.2474,40.5629,-73.7741	4060 Elbertson St, Elmhurst, NY 11373,United States	PopulatedPlace	40.74704,-73.87812	2
en-us	en-us UnifiedMaps-1410-01	020ba0ff-d64c-510b-8041-2ee22f0e2469	1877 n kolb rd tucson,az	Address	1	Scottsdale ,Arizona ,United States 85258	33.561,-111.909	33.62802089,-111.98691018,33.46749986,-112.21247323	1877 N Kolb Rd, Tucson, AZ 85715	Address	32.2437400817871,-110.845855712891	2
en-us	en-us UnifiedMaps-1410-01	02103994-3b46-5a0b-93e0-8d005fcf180b	Av. Las Nieves Oriente 10652, Puente Alto, Santiago	Address	1	Santiago ,Region Metropolitana ,Chile	-33.465,-70.656	-33.423,-70.6081,-33.4275,-70.6176	Avenida Las Nieves Oriente, 8150000 Puente Alto, Santiago Metropolitan, Chile	PopulatedPlace	-33.57136,-70.56131	7
en-us	en-us UnifiedMaps-1410-01	0223f864-7c39-5b4c-b65c-04d685a14ef0	770 Acorn Dr Brick, NJ 08723	Address	1	Asbury Park ,New Jersey ,United States 07712	40.2434,-74.0387	40.0587,-74.1158,40.0496,-74.1376	770 Acorn Dr, Brick, NJ 08723,United States	PopulatedPlace	40.05414,-74.12672	2
en-us	en-us UnifiedMaps-1410-01	022d5ce6-301f-5b22-a50a-3d504763bbce	3017 Greenshire Dr	Address	1	Converse ,Texas ,United States 78109	29.4886,-98.2735	29.5588,-98.2988,29.5565,-98.3034	3017 Greenshire Dr, Schertz, TX 78154,United States	PopulatedPlace	29.58775,-98.26087	2
en-us	en-us UnifiedMaps-1410-01	02402c04-09a6-573a-8e1c-d9c4c69bd5fe	5040 SE Milwaukie Ave, Portland, Oregon 97202	Address	1	Portland ,Oregon ,United States 97213	45.5377,-122.601	45.66060721,-122.42477417,45.41435847,-122.77633667	5040 SE Milwaukie Ave, Portland, OR 97202,United States	PopulatedPlace	45.48636,-122.64971	2
en-us	en-us UnifiedMaps-1410-01	024e8718-d385-5d6a-9a47-d758715a17a8	13624 Michel Rd, Tomball, TX 77375, United States	Address	1	Deer Park ,Texas ,United States 77536	29.6877,-95.1157	30.2341541,-95.45196533,29.92994467,-95.80352783	13624 Michel Rd, Tomball, TX 77375,United States	PopulatedPlace	30.08206,-95.62802	2
en-us	en-us UnifiedMaps-1410-01	024fd897-e66c-5094-b0de-0c416a89d47c	Delphi Rd NW	Address	1	Post Falls ,Idaho ,United States	47.718,-116.952	48.3193,-115.954,47.5868,-117.937	Delphi Rd NW, Olympia, WA 98502,United States	PopulatedPlace	47.04647,-122.97497	2
en-us	en-us UnifiedMaps-1410-01	02533010-976a-5736-bf20-6a9f39a923f2	2670 Kelley Parkway #308, Orono MN 55356	Address	1	Plymouth ,Minnesota ,United States 55442	45.0484,-93.4273	45.0654,-93.3516,44.9736,-93.587	2670 Kelley Pkwy, Long Lake, MN 55356,United States	PopulatedPlace	44.99091,-93.59034	2
en-us	en-us UnifiedMaps-1410-01	027c8fb8-64ee-5feb-ba74-fc3e12e066ff	1600 King St, Alexandria, VA 22314	Address	1	Boston ,Massachusetts ,United States	42.3584,-71.0598	38.94285504,-76.88095093,38.66889222,-77.23251343	1600 King St, Alexandria, VA 22314,United States	PopulatedPlace	38.80598,-77.05685	2
en-us	en-us UnifiedMaps-1410-01	02836bc2-34fd-5547-bb69-a59afc8db31d	1451 Harrodsburg Rd., Lexington, KY 40504 United States	Address	1	Tampa ,Florida ,United States 33603	27.986,-82.4638	28.14102687,-82.2882843,27.83057531,-82.6398468	1451 Harrodsburg Rd, Lexington, KY 40504,United States	PopulatedPlace	38.0323,-84.52676	2
en-us	en-us UnifiedMaps-1410-01	02a9efc3-58e5-5062-abb2-4465cf901255	6693 Goodview Ct S, Cottage Grove, MN 55016	Address	1	Norwalk ,Connecticut ,United States 06850	41.1271,-73.4416	41.25922683,-73.26576233,40.994411,-73.61732483	6693 Goodview Ct S, Cottage Grove, MN 55016,United States	PopulatedPlace	44.85075,-92.97582	2
en-us	en-us UnifiedMaps-1410-01	02ae9e18-fff4-5499-bea5-533b32169a94	462 captains walk, hilton head, sc	Address	1	Endicott ,New York ,United States 13760	42.146,-76.0909	32.159,-80.7239,32.1575,-80.726	462 Captains Walk, Hardeeville, SC 29927,United States	PopulatedPlace	32.33388,-81.11367	2
en-us	en-us UnifiedMaps-1410-01	02bb6865-516d-5c92-bc3c-0456adf3fae9	2109 Klamer Rd, Gladwin, MI 48624	Address	1	Gladwin ,Michigan ,United States 48624	44.0747,-84.4347	52.8655,-62.182,33.8691,-107.182	2109 Klamer Rd, Gladwin, MI 48624,United States	PopulatedPlace	44.03389,-84.49583	2
en-us	en-us UnifiedMaps-1410-01	02bcd13f-65d2-57fc-ac6e-ede01d758beb	119 burr rd, east northport, ny	Address	1	Massapequa ,New York ,United States 11758	40.6826,-73.467	40.8545,-73.3166,40.8427,-73.3286	119 Burr Rd, East Northport, NY 11731,United States	PopulatedPlace	40.84816,-73.32178	2
en-us	en-us UnifiedMaps-1410-01	02fc304b-b16b-5510-8f2f-842c5474fe05	808 Maple Street Manchester New hampshire	Address	1	Lakeland ,Florida ,United States	28.0395,-81.9498	28.19429557,-81.77398682,27.88399774,-82.12554932	808 Maple St, Manchester, NH 03104,United States	PopulatedPlace	43.00563,-71.45586	2
en-us	en-us UnifiedMaps-1410-01	030a79af-eb06-5815-b93f-cc199f20313f	13918 MCDANNALD PARK LN, HUMBLE,TX	Address	1	Dravosburg ,Pennsylvania ,United States 15034	40.3496,-79.8899	29.9279,-95.2546,29.9167,-95.2746	13918 McDannald Park Ln, Humble, TX 77396,United States	PopulatedPlace	29.9223,-95.26463	2
en-us	en-us UnifiedMaps-1410-01	033fe340-7017-5be6-a42c-e12a040ef28a	8137 RICHMOND TAPP HWY, AYLETT, VA 23009 USA	Address	1	Chester ,Virginia ,United States 23831	37.3393,-77.4521	37.47867254,-77.27645874,37.19915926,-77.62802124	23009,Beulahville,King William Co.,VA,United States	Postcode1	37.81501,-77.18905	2
en-us	en-us UnifiedMaps-1410-01	034868c0-cd30-5c96-8674-c0d25e865dfd	401 14th Street Suite 4D (Funland Park), Decatur, Alabama 35601	Address	1	Decatur ,Alabama ,United States 35603	34.5389,-86.8733	34.6834756,-86.69723511,34.39387883,-87.04879761	401 14th St SE, Decatur, AL 35601,United States	PopulatedPlace	34.57811,-86.98295	2
en-us	en-us UnifiedMaps-1410-01	0390ae82-194a-5520-a592-fcfe2229c473	4221 S 6th St, Milwaukee, WI 53221	Address	1	Bloomington ,Illinois ,United States 61791	40.5192,-88.8643	43.09647052,-87.74368286,42.83922006,-88.09524536	4221 S 6th St, Milwaukee, WI 53221,United States	PopulatedPlace	42.96793,-87.91945	2
en-us	en-us UnifiedMaps-1410-01	0390fbf9-f540-5c03-a249-5a88e64d5e05	2135 15Th Ave N Nashville TN 37208	Address	1	Nashville ,Tennessee ,United States 37228	36.1936,-86.8057	36.2008,-86.7876,36.1864,-86.8238	2135 15th Ave N, Nashville, TN 37208,United States	PopulatedPlace	36.18728,-86.81153	2
en-us	en-us UnifiedMaps-1410-01	03a8ae29-6680-52c1-803a-6326af246fdb	4350 austin parkway sugar land t	Address	1	Houston ,Texas ,United States	29.7633,-95.3633	29.9317,-95.5131,29.8894,-95.6002	Austin Pkwy, Sugar Land, TX 77479,United States	PopulatedPlace	29.5725,-95.58758	2
en-us	en-us UnifiedMaps-1410-01	03bce3a9-0c09-5f03-8dc1-806c4e74b21d	3050 hamilton st allentown pa	Address	1	Allentown ,Pennsylvania ,United States 18104	40.6152,-75.5437	40.74829735,-75.36758423,40.48142598,-75.71914673	3050 W Hamilton St, Allentown, PA 18104,United States	PopulatedPlace	40.59145,-75.51067	2
en-us	en-us UnifiedMaps-1410-01	03cb7787-57b1-57be-8f10-11763fdc7162	1505 Capital Blvd., Raleigh, NC 27603 United States	Address	1	Raleigh ,North Carolina ,United States	35.7721,-78.6386	35.91463521,-78.46298218,35.62939578,-78.81454468	1505 Capital Blvd, Raleigh, NC 27603	Address	35.8023834228516,-78.6304168701172	2
en-us	en-us UnifiedMaps-1410-01	03d9c23d-87a2-5d6f-962f-54ce0ec2c80e	Verkių gatvė, Ogmios miestas, Šeimos aikštė 3, Vilnius, Lithuania	Address	1	Vilnius ,Vilniaus Apskritis ,Lithuania 2000	54.6894,25.28	54.79078871,25.45600891,54.58758201,25.10444641	Verkių gatvė 3, LT-08218 Vilnius, Lithuania	PopulatedPlace	54.70471,25.28552	2
en-us	en-us UnifiedMaps-1410-01	03df713a-3600-53f7-9d3b-d1da76e895e1	2701 Renaissance Boulevard Suite 200, King of Prussia, PA 19406, United States of America	Address	1	Philadelphia ,Pennsylvania ,United States 19122	39.9774,-75.1452	40.1122138,-74.96932983,39.84281323,-75.32089233	2701 Renaissance Blvd, King of Prussia, PA 19406,United States	PopulatedPlace	40.08132,-75.34481	2
en-us	en-us UnifiedMaps-1410-01	04057731-0181-5185-98c3-aac88d836600	Κρήτης 2 Σταυρούπολη, 56430 Thessaloníki	Address	1	Thessaloniki ,Kentriki Makedonia ,Greece 54001	40.6461,22.9497	40.77950154,23.12553406,40.5127551,22.77397156	2 Kritis, 564 30 Stavroupoli, Greece	Address	40.6576881,22.9341393	5
en-us	en-us UnifiedMaps-1410-01	040e60bb-c188-58d2-a992-97b9135256cc	106 Sha Lane  Spartanburg, SC 29307	Address	1	Sacramento ,California ,United States	38.5816,-121.494	35.0227,-81.8899,35.0165,-81.9015	106 Sha Ln, Spartanburg, SC 29307,United States	PopulatedPlace	35.01962,-81.89568	2
en-us	en-us UnifiedMaps-1410-01	0417262c-5fd9-5dfa-bd10-593bb900adc4	215 Welch St Houston Tx	Address	1	Conroe ,Texas ,United States	30.3119,-95.4561	30.45577677,-95.25558472,30.1522523,-95.60714722	215 Welch St, Houston, TX 77006,United States	PopulatedPlace	29.75043,-95.38537	2
en-us	en-us UnifiedMaps-1410-01	04222b33-da68-5ee2-9e8e-526a195a1105	15025 NE 237th Terrace	Address	1	Ocala ,Florida ,United States 34471	29.1654,-82.0967	40.34,-79.7816,40.2459,-80.0054	15025 NE 237th Terrace, Fort McCoy, FL 32134,United States	PopulatedPlace	40.2929663789443,-79.8935	7
en-us	en-us UnifiedMaps-1410-01	043be6b6-69b2-587d-9adc-1094467f5d6e	6510 N Mesa St, El Paso, TX 79912	Address	1	Austin ,Texas ,United States	30.2672,-97.7431	31.98303548,-106.36207581,31.68435468,-106.71363831	6510 N Mesa St, El Paso, TX 79912,United States	PopulatedPlace	31.83359,-106.5379	2
en-us	en-us UnifiedMaps-1410-01	044e61e4-c9f9-57c1-a96e-a03bcd7fffde	1895 Tilton Dr  Pittsburgh PA  15241-2636	Address	1	Columbus ,Ohio ,United States	39.9612,-82.9988	40.439,-79.815,40.4377,-79.8166	1895 Tilton Dr, Pittsburgh, PA 15241,United States	PopulatedPlace	40.34811,-80.08153	2
en-us	en-us UnifiedMaps-1410-01	04564c93-518b-5c45-83d5-9a53e8d2edf9	0 Washington Rd Greenbrier Tennessee 37073	Address	1	Springfield ,Tennessee ,United States 37172	36.5375,-86.8589	36.54729048,-86.84436178,36.52770523,-86.87324381	Washington Rd, Greenbrier, TN 37073,United States	PopulatedPlace	36.42203,-86.91832	2
en-us	en-us UnifiedMaps-1410-01	04586f72-86b6-5ded-b772-b7c971976237	Homokszem u., Budapest, Hungary	Address	1	Budapest ,Budapest ,Hungary 1191	47.4984,19.0408	47.61680986,19.21646118,47.37928943,18.86489868	Homokszem utca, Budapest 1238, Hungary	PopulatedPlace	47.4143,19.11398	2
en-us	en-us UnifiedMaps-1410-01	045fdd4d-d398-53a3-9bda-73b3547631fe	191 exeter road, newmarket, nh	Address	1	Brunswick ,Maine ,United States 04011	43.8988,-69.9725	43.0442,-70.925,43.0272,-70.9587	191 Exeter Rd, Newmarket, NH 03857,United States	PopulatedPlace	43.05357,-70.937	2
en-us	en-us UnifiedMaps-1410-01	0464f18a-95cb-560f-bc55-26431555c0f7	53 Mullock Rd, Middletown, NY 10940	Address	1	Monsey ,New York ,United States 10952	41.1181,-74.0833	41.53274014,-74.35066223,41.26903341,-74.70222473	53 Mullock Rd, Middletown, NY 10940,United States	PopulatedPlace	41.40093,-74.52673	2
en-us	en-us UnifiedMaps-1410-01	049c0534-5d88-51fa-b524-080c09565a99	3 Rising Sun Ct,Henderson,NV,89074	Address	1	Las Vegas ,Nevada ,United States 89117	36.1443,-115.279	36.28634929,-115.10375977,36.00245156,-115.45532227	3 Rising Sun Ct, Henderson, NV 89074,United States	PopulatedPlace	36.02807,-115.09922	2
en-us	en-us UnifiedMaps-1410-01	04aab1ff-f553-5c3e-8a25-1a1fa4adda74	north columbus street seaside or	Address	1	Kirkland ,Washington ,United States 98033	47.6727,-122.187	47.79101618,-122.01141357,47.5542867,-122.36297607	N Columbia St, Seaside, OR 97138,United States	PopulatedPlace	46.00485,-123.92603	2
en-us	en-us UnifiedMaps-1410-01	04adcbe5-a7d9-5f2c-bdbe-0552dd2291f5	1500 Cornerside Blvd, viena va	Address	1	Alexandria ,Virginia ,United States	38.8048,-77.0469	38.94178692,-76.87133789,38.66781998,-77.22290039	Cornerside Blvd, Vienna, VA 22182,United States	PopulatedPlace	38.92999,-77.2447	2
en-us	en-us UnifiedMaps-1410-01	04ed71b6-1884-576c-b51b-96168dfc2269	1300 pennsylvania ave, nw dc	Address	1	Bethesda ,Maryland ,United States	38.9807,-77.1003	42.2773,-71.5649,37.9788,-77.1899	1300 Pennsylvania Ave NW, Washington, DC 20004,United States	PopulatedPlace	38.89394,-77.03121	2
en-us	en-us UnifiedMaps-1410-01	04f3ebda-d046-5c37-8cce-2bd23173f3e5	520 ricky raccoon drive jacksonville ar	Address	1	Arlington ,Texas ,United States 76010	32.7227,-97.0802	32.87036023,-96.90422058,32.57459172,-97.25578308	520 Ricky Raccoon Dr, Jacksonville, AR 72076	Address	34.8567886352539,-92.1711730957031	2
en-us	en-us UnifiedMaps-1410-01	04fc1715-11fd-5086-83fe-b2b98697af29	100 5th St E, Cincinnati, OH 45202, United States	Address	1	Lynchburg ,Ohio ,United States 45142	39.1972,-83.7381	39.1018,-84.5064,39.0986,-84.5148	100 5th St E, Cincinnati, OH 45202,United States	PopulatedPlace	39.10138,-84.51118	2
en-us	en-us UnifiedMaps-1410-01	050a6a15-ce32-52c1-9eea-9febf42f4266	Ashtaraki Highway 50/1, 0088 Ереван	Address	1	Yerevan ,Yerevan ,Armenia 375000	40.1833,44.5	40.31723173,44.67590332,40.04864272,44.32434082	ViewPortCenter	PopulatedPlace	40.1830701459097,44.50012207	14
en-us	en-us UnifiedMaps-1410-01	051d6645-190a-5c7c-bc4e-d17e3b66ef5a	191 Deerwood Circle, Fort Valley, GA	Address	1	Warner Robins ,Georgia ,United States 31088	32.5839,-83.6512	32.651,-83.4765,32.523,-83.7511	191 Deerwood Circle, Fort Valley, GA 31030,United States	PopulatedPlace	32.66557,-83.88342	2
en-us	en-us UnifiedMaps-1410-01	054848f3-bcb2-5180-aaf9-004c92702a81	ul. Kwiatowa 46, Dobroszyce, Poland 56-410	Address	1	Krakow ,Malopolskie ,Poland 30-024	50.0647,19.945	50.17733786,20.12077332,49.95166172,19.76921082	ulica Kwiatowa 46, 56-410 Dobroszyce, Poland	PopulatedPlace	51.26793,17.34659	2
en-us	en-us UnifiedMaps-1410-01	05826a3d-7a22-5bf5-b229-c75f374cef3e	Moreau Ave	Address	1	Englishtown ,New Jersey ,United States 07726	40.2787,-74.3683	40.2398,-74.6545,40.2369,-74.6593	Moreau, NY	PopulatedPlace	43.2467002868652,-73.7075119018555	210
en-us	en-us UnifiedMaps-1410-01	05904014-e200-59bb-a938-3e36e93e2e43	39 Stinson Road, Andover, MA, 01810	Address	1	Salem ,New Hampshire ,United States 03079	42.7826,-71.2485	42.91168049,-71.07261658,42.65365693,-71.42417908	39 Stinson Rd, Andover, MA 01810,United States	PopulatedPlace	42.63625,-71.11581	2
en-us	en-us UnifiedMaps-1410-01	05a4a6a5-6048-5dd4-939b-0ebff381ff82	Narva mnt 27B, 51013 Tartu, Estonia	Address	1	Tartu ,Tartumaa ,Estonia 50050	58.3709,26.7148	58.46282039,26.89041138,58.27845366,26.53884888	ViewPortCenter	PopulatedPlace	58.3707574276089,26.71463013	10
en-us	en-us UnifiedMaps-1410-01	05a8313d-6e5b-50eb-a2e9-295c07ba76b4	607 CR-42, massena, NY 12937	Address	1	North Bangor ,New York ,United States 12966	44.7953,-74.4156	45.0021,-74.167,44.7628,-74.776	607 CR-42, Massena, NY 13662,United States	PopulatedPlace	44.96048,-74.83132	2
en-us	en-us UnifiedMaps-1410-01	05b6dc52-be85-5365-b0be-bfc41c5d32e6	45980 waterview plaza, sterling va. 20166	Address	1	Herndon ,Virginia ,United States 20170	38.9807,-77.3803	39.0402,-77.2263,38.9354,-77.446	45980 Waterview Plaza, Sterling, VA 20166,United States	PopulatedPlace	39.03257,-77.40966	2
en-us	en-us UnifiedMaps-1410-01	05b78947-14e0-578c-af4d-039bc89e34f7	130 N. Tryon St., Charlotte, NC 28202 United States	Address	1	Aiken ,South Carolina ,United States 29803	33.5607,-81.7194	35.2117,-80.809,35.1307,-80.9435	130 N Tryon St, Charlotte, NC 28202,United States	PopulatedPlace	35.22728,-80.84152	2
en-us	en-us UnifiedMaps-1410-01	05c98e52-d6bb-5332-bf76-7d3a71cab430	2300 simpkins  rd raleigh nc	Address	1	Raleigh ,North Carolina ,United States 27610	35.7434,-78.5361	35.7403,-78.5771,35.6927,-78.6831	2300 Simpkins Rd, Raleigh, NC 27603,United States	PopulatedPlace	35.70241,-78.6778	2
